antecedents_str,consequents_str,support,confidence,lift
"昭陵, 達賴",福陵,0.15,1.0,6.666666666666667
"福陵, 達賴",昭陵,0.15,1.0,6.666666666666667
昭陵,"福陵, 達賴",0.15,1.0,6.666666666666667
福陵,"昭陵, 達賴",0.15,1.0,6.666666666666667
"永陵, 達賴",福陵,0.15,1.0,6.666666666666667
"福陵, 達賴",永陵,0.15,1.0,6.666666666666667
永陵,"福陵, 達賴",0.15,1.0,6.666666666666667
福陵,"永陵, 達賴",0.15,1.0,6.666666666666667
"十月, 達賴",福陵,0.1,0.6666666666666667,4.4444444444444455
"福陵, 達賴",十月,0.1,0.6666666666666667,4.4444444444444455
十月,"福陵, 達賴",0.1,0.6666666666666667,4.4444444444444455
福陵,"十月, 達賴",0.1,0.6666666666666667,4.4444444444444455
"福建, 達賴",福陵,0.1,0.5,3.3333333333333335
"福陵, 達賴",福建,0.1,0.6666666666666667,3.3333333333333335
福建,"福陵, 達賴",0.1,0.5,3.3333333333333335
福陵,"福建, 達賴",0.1,0.6666666666666667,3.3333333333333335
"福陵, 達賴",提督,0.1,0.6666666666666667,2.2222222222222228
福陵,"提督, 達賴",0.1,0.6666666666666667,2.666666666666667
福陵,"太廟, 達賴",0.1,0.6666666666666667,1.6666666666666667
"班禪, 達賴",福陵,0.1,0.5,3.3333333333333335
"福陵, 達賴",班禪,0.1,0.6666666666666667,3.3333333333333335
班禪,"福陵, 達賴",0.1,0.5,3.3333333333333335
福陵,"班禪, 達賴",0.1,0.6666666666666667,3.3333333333333335
"江西, 達賴",吏部,0.1,1.0,3.3333333333333335
江西,"吏部, 達賴",0.1,1.0,4.0
"江西, 達賴",尚書,0.1,1.0,2.857142857142857
江西,"尚書, 達賴",0.1,1.0,2.857142857142857
"江西, 達賴",康熙,0.1,1.0,1.5384615384615383
江西,"康熙, 達賴",0.1,1.0,1.6666666666666667
"十七年, 達賴",尚書,0.1,1.0,2.857142857142857
十七年,"尚書, 達賴",0.1,1.0,2.857142857142857
"十七年, 達賴",太廟,0.1,1.0,2.2222222222222223
十七年,"太廟, 達賴",0.1,1.0,2.5
"十七年, 達賴",康熙,0.1,1.0,1.5384615384615383
十七年,"康熙, 達賴",0.1,1.0,1.6666666666666667
