word,n_W,n_TW,P(W|T),Jaccard,PMI,Lift
宮行禮,10,6,0.10909090909090909,0.1016949152542373,3.047728730480226,8.26909090909091
三十二,5,3,0.05454545454545454,0.05263157894736842,3.047728730480226,8.26909090909091
八百,15,9,0.16363636363636364,0.14754098360655737,3.047728730480226,8.26909090909091
六十五,5,3,0.05454545454545454,0.05263157894736842,3.047728730480226,8.26909090909091
田地,47,28,0.509090909090909,0.3783783783783784,3.037460395026399,8.210444874274662
忒,43,25,0.45454545454545453,0.3424657534246575,3.002285759719059,8.012684989429175
之神,26,15,0.2727272727272727,0.22727272727272727,2.991145202113859,7.951048951048951
一人,33,19,0.34545454545454546,0.2753623188405797,2.9882277187315642,7.934986225895317
六千,23,13,0.23636363636363636,0.2,2.961572086730511,7.789723320158103
九十,11,6,0.10909090909090909,0.1,2.910225206730291,7.517355371900827
二千,50,27,0.4909090909090909,0.34615384615384615,2.8957256370351763,7.442181818181818
烏,26,14,0.2545454545454545,0.208955223880597,2.8916095285629444,7.420979020979021
二十八,13,7,0.12727272727272726,0.11475409836065574,2.8916095285629444,7.420979020979021
三十六,15,8,0.14545454545454545,0.12903225806451613,2.8778037290379133,7.350303030303031
阿祿,23,12,0.21818181818181817,0.18181818181818182,2.8460948693105754,7.190513833992095
尼特,25,13,0.23636363636363636,0.19402985074626866,2.8412778530127993,7.166545454545455
歲,81,42,0.7636363636363637,0.44680851063829785,2.837161744540568,7.1461279461279466
五百,49,25,0.45454545454545453,0.31645569620253167,2.813840670305949,7.031539888682746
四人,10,5,0.09090909090909091,0.08333333333333333,2.7846943246464324,6.890909090909091
百八十,6,3,0.05454545454545454,0.05172413793103448,2.784694324646432,6.890909090909091
銀建坊,78,39,0.7090909090909091,0.4148936170212766,2.7846943246464324,6.890909090909091
四十二,8,4,0.07272727272727272,0.06779661016949153,2.7846943246464324,6.890909090909091
七十二,12,6,0.10909090909090909,0.09836065573770492,2.784694324646432,6.890909090909091
蒿,8,4,0.07272727272727272,0.06779661016949153,2.7846943246464324,6.890909090909091
五千,44,22,0.4,0.2857142857142857,2.7846943246464324,6.890909090909091
四十五,6,3,0.05454545454545454,0.05172413793103448,2.784694324646432,6.890909090909091
以下,101,48,0.8727272727272727,0.4444444444444444,2.711445342615794,6.54977497749775
二百八十,17,8,0.14545454545454545,0.125,2.697231483396093,6.485561497326203
十五,51,24,0.43636363636363634,0.2926829268292683,2.697231483396093,6.485561497326203
停止,90,42,0.7636363636363637,0.4077669902912621,2.685158651095518,6.431515151515152
天府,15,7,0.12727272727272726,0.1111111111111111,2.685158651095518,6.431515151515152
旌表,86,40,0.7272727272727273,0.39603960396039606,2.6803576648316967,6.41014799154334
三百,37,17,0.3090909090909091,0.22666666666666666,2.662703800267822,6.332186732186732
九十七,11,5,0.09090909090909091,0.08196721311475409,2.6471908008964973,6.264462809917355
二百七十,18,8,0.14545454545454545,0.12307692307692308,2.61476932320412,6.125252525252526
三十三,9,4,0.07272727272727272,0.06666666666666667,2.61476932320412,6.125252525252526
幸暢,16,7,0.12727272727272726,0.109375,2.5920492467040366,6.029545454545454
一千四百,7,3,0.05454545454545454,0.05084745762711865,2.5623019033099843,5.906493506493507
聘妻,7,3,0.05454545454545454,0.05084745762711865,2.5623019033099843,5.906493506493507
鄂爾,42,18,0.32727272727272727,0.22784810126582278,2.5623019033099843,5.906493506493507
喇沁,19,8,0.14545454545454545,0.12121212121212122,2.5367668112028467,5.80287081339713
多斯,43,18,0.32727272727272727,0.225,2.5283545713866467,5.769133192389006
二十九,12,5,0.09090909090909091,0.08064516129032258,2.521659918812638,5.742424242424242
七十,12,5,0.09090909090909091,0.08064516129032258,2.521659918812638,5.742424242424242
