antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
"康熙, 朝鮮國王",朔,2,1,0.0712401055408971,0.981818181818182,2.325681818181818,"康熙(DATE), 朝鮮國王(PER)",朔(DATE)
"朝鮮國王, 正月",朔,2,1,0.0712401055408971,0.981818181818182,2.325681818181818,"朝鮮國王(PER), 正月(DATE)",朔(DATE)
"元旦, 朝鮮國王",朔,2,1,0.0712401055408971,0.981818181818182,2.325681818181818,"元旦(DATE), 朝鮮國王(PER)",朔(DATE)
"八旗, 朝鮮國王",朔,2,1,0.0527704485488126,0.9756097560975612,2.3109756097560976,"八旗(SYS), 朝鮮國王(PER)",朔(DATE)
"朝鮮國王, 滿洲",朔,2,1,0.0514511873350923,0.975,2.30953125,"朝鮮國王(PER), 滿洲(GRP)",朔(DATE)
朝鮮國王,康熙,1,1,0.0725593667546174,1.0,2.0267379679144386,朝鮮國王(PER),康熙(DATE)
"朝鮮國王, 正月",康熙,2,1,0.0725593667546174,1.0,2.0267379679144386,"朝鮮國王(PER), 正月(DATE)",康熙(DATE)
"元旦, 朝鮮國王",康熙,2,1,0.0725593667546174,1.0,2.0267379679144386,"元旦(DATE), 朝鮮國王(PER)",康熙(DATE)
"堂子, 朝鮮國王",康熙,2,1,0.0712401055408971,1.0,2.0267379679144386,"堂子(LOC), 朝鮮國王(PER)",康熙(DATE)
"朔, 朝鮮國王",康熙,2,1,0.0712401055408971,1.0,2.0267379679144386,"朔(DATE), 朝鮮國王(PER)",康熙(DATE)
"朝鮮國王, 藩王",康熙,2,1,0.0633245382585752,1.0,2.0267379679144386,"朝鮮國王(PER), 藩王(OFF)",康熙(DATE)
"八旗, 朝鮮國王",康熙,2,1,0.0540897097625329,1.0,2.0267379679144386,"八旗(SYS), 朝鮮國王(PER)",康熙(DATE)
"朝鮮國王, 滿洲",康熙,2,1,0.0527704485488126,1.0,2.0267379679144386,"朝鮮國王(PER), 滿洲(GRP)",康熙(DATE)
"朝鮮國王, 貝勒貝子",康熙,2,1,0.0646437994722955,1.0,2.0267379679144386,"朝鮮國王(PER), 貝勒貝子(OFF)",康熙(DATE)
"朝鮮國王, 諸王",康熙,2,1,0.0633245382585752,1.0,2.0267379679144386,"朝鮮國王(PER), 諸王(OFF)",康熙(DATE)
"大學士, 朝鮮國王",康熙,2,1,0.0633245382585752,1.0,2.0267379679144386,"大學士(OFF), 朝鮮國王(PER)",康熙(DATE)
