antecedents,consequents,ant_len,cons_len,support,confidence,lift,antecedents_tagged,consequents_tagged
"堂子, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8888888888888888,4.0589022757697455,"堂子(LOC), 朝鮮國王(PER)",大學士(OFF)
"正月, 藩王",大學士,2,1,0.06200527704485488,0.8867924528301887,4.049329393043873,"正月(DATE), 藩王(OFF)",大學士(OFF)
"元旦, 藩王",大學士,2,1,0.06200527704485488,0.8867924528301887,4.049329393043873,"元旦(DATE), 藩王(OFF)",大學士(OFF)
"大學士, 貝勒貝子",滿洲,2,1,0.05013192612137203,0.6551724137931034,4.037566582562377,"大學士(OFF), 貝勒貝子(OFF)",滿洲(GRP)
"正月, 滿洲",大學士,2,1,0.05013192612137203,0.883720930232558,4.035304006724572,"正月(DATE), 滿洲(GRP)",大學士(OFF)
"堂子, 康熙",大學士,2,1,0.06728232189973615,0.8793103448275863,4.015164104694641,"堂子(LOC), 康熙(DATE)",大學士(OFF)
"內閣, 學士",侍郎,2,1,0.059366754617414245,0.6923076923076923,4.005871990604815,"內閣(OFF), 學士(OFF)",侍郎(OFF)
"元旦, 八旗",蒙古,2,1,0.05013192612137203,0.8085106382978723,4.00556250869142,"元旦(DATE), 八旗(SYS)",蒙古(GRP)
朝鮮國王,大學士,1,1,0.0633245382585752,0.8727272727272728,3.985104052573932,朝鮮國王(PER),大學士(OFF)
"康熙, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8727272727272728,3.985104052573932,"康熙(DATE), 朝鮮國王(PER)",大學士(OFF)
"朝鮮國王, 正月",大學士,2,1,0.0633245382585752,0.8727272727272728,3.985104052573932,"朝鮮國王(PER), 正月(DATE)",大學士(OFF)
"元旦, 朝鮮國王",大學士,2,1,0.0633245382585752,0.8727272727272728,3.985104052573932,"元旦(DATE), 朝鮮國王(PER)",大學士(OFF)
"元旦, 八旗",大學士,2,1,0.05408970976253298,0.8723404255319149,3.9833376057421175,"元旦(DATE), 八旗(SYS)",大學士(OFF)
"朔, 諸王",滿洲,2,1,0.052770448548812667,0.6451612903225806,3.9758720167846837,"朔(DATE), 諸王(OFF)",滿洲(GRP)
"朔, 藩王",大學士,2,1,0.06200527704485488,0.8703703703703703,3.9743418116912093,"朔(DATE), 藩王(OFF)",大學士(OFF)
堂子,"實錄, 朔",1,2,0.05013192612137203,0.6440677966101694,3.96913325065454,堂子(LOC),"實錄(SYS), 朔(DATE)"
堂子,大學士,1,1,0.06728232189973615,0.864406779661017,3.947110475801511,堂子(LOC),大學士(OFF)
"十月, 福陵",太廟,2,1,0.08047493403693931,0.9838709677419354,3.94589520395972,"十月(DATE), 福陵(LOC)",太廟(LOC)
"十月, 昭陵",太廟,2,1,0.08047493403693931,0.9838709677419354,3.94589520395972,"十月(DATE), 昭陵(LOC)",太廟(LOC)
"十月, 永陵",太廟,2,1,0.08047493403693931,0.9838709677419354,3.94589520395972,"十月(DATE), 永陵(LOC)",太廟(LOC)
"八旗, 大學士",蒙古,2,1,0.05013192612137203,0.7916666666666666,3.9221132897603486,"八旗(SYS), 大學士(OFF)",蒙古(GRP)
"大學士, 蒙古",滿洲,2,1,0.055408970976253295,0.6363636363636362,3.9216555801921644,"大學士(OFF), 蒙古(GRP)",滿洲(GRP)
藩王,大學士,1,1,0.0633245382585752,0.8571428571428572,3.9139414802065406,藩王(OFF),大學士(OFF)
"朔, 諸王",大學士,2,1,0.06992084432717678,0.8548387096774194,3.903420132141469,"朔(DATE), 諸王(OFF)",大學士(OFF)
